customerFinder.Organization,demo
partyId,organizationName,annualRevenue,numEmployees
P2,NovaTech Ltd,6000000,130
P4,InnoWave Solutions,16000000,360
P6,Creative Minds Inc,8500000,190
P8,Aarav Enterprises,21000000,520
P10,NextGen Solutions,4000000,90
P12,GreenWave Technologies,12500000,310
P14,Sunbeam Ventures,24000000,630
P16,FutureTech Corp,17500000,390
P18,Vortex Innovations,10000000,220
P20,SkyHigh Technologies,14000000,330
P22,Omega Systems,8500000,160
P24,Sigma Innovations,11000000,260
P26,Pinnacle Corp,11500000,280
P28,NeoWave Solutions,9800000,220
P30,Global Edge Inc,14000000,390
P32,VisionTech Ltd,6000000,110
P34,PrimeWave Technologies,14500000,430
P36,CyberWave Solutions,13500000,340
P38,QuantumX Innovations,12000000,285
P40,RevoTech Systems,13000000,360
P42,EcoGreen Solutions,16500000,460
P44,TechRise Ltd,18500000,610
P46,DataSphere Corp,12500000,270
P48,SmartWave Innovations,10000000,220
P50,Innovatech Enterprises,14000000,380
