customerFinder.PartyRole	demo
partyId,roleTypeId
P1,Customer
P2,Customer
P3,Partner
P4,Customer
P5,Customer
P6,Visitor
P7,Customer
P8,Visitor
P9,Visitor
P10,Customer
P11,Owner
P12,Visitor
P13,Customer
P14,Accountant
P15,Vendor
P16,Customer
P17,Executive
P18,ProjectManager
P19,Customer
P20,Operator
P21,Employee
P22,Customer
P23,Visitor
P24,QualityAnalyst
P25,Customer
P26,Cashier
P27,Manufacturer
P28,Customer
P29,Vendor
P30,Manager
P31,Customer
P32,Programmer
P33,Supplier
P34,Customer
P35,Partner
P36,Executive
P37,Customer
P38,Visitor
P39,Owner
P40,Customer
P41,HumanResourcesManager
P42,Vendor
P43,Customer
P44,Distributor
P45,Customer
P46,Customer
P47,Customer
P48,Operator
P49,Customer
P50,Customer
